campaign_id,name,channel,send_time,recipients,delivered,open_rate,click_rate,conversions,conversion_rate,conversion_value,aov,rpr,unsub_rate,spam_rate
01KB0BNYPN4GG0T6MC70AQPAC7,Follow-up fall contest + warmup EN,email,"November 26, 2025, 15:30",6103,6092,0.15069,0.00509,3,0.00049,343.09,114.36333,0.05632,0.00952,0.00066
01K9AD8VT2YSN3GQQCZJFQ5257,Follow-up #2 EN Concours automne 2025 + Lancement mini-collection Asclépiade et Monarque,email,"November 05, 2025, 16:24",6226,6193,0.16083,0.00775,3,0.00048,283.81001,94.60334,0.04583,0.00727,0.00113
01K4FC5QGHFSN9C5272PXQ5WG1,Warm-up presale 2025 #2 EN,email,"September 06, 2025, 13:15",4396,4385,0.84059,0.03238,7,0.0016,283.77,40.53857,0.06471,0.01802,0.00068
01K5M3925D1X8KJ2PGH9RYAA86,Précommande follow-up #2 FR non-acheteur,email,"September 27, 2025, 12:00",10367,10357,0.28705,0.01709,4,0.00039,270.11,67.5275,0.02608,0.00666,0.00029
01M0Q5756WW8Y5Q0YH502JJ99T,Warmup presale 2026 #1,email,"August 23, 2026, 11:20",5838,5806,0.47623,0.03669,2,0.00034,259.86,129.93,0.04476,0.00723,0.00017
01KZFM1NVTVWNXAHR84XCFSDS7,2026-08 Chenilles plantation - FR,email,"August 08, 2026, 11:00",19136,19128,0.53801,0.02509,4,0.00021,247.12,61.78,0.01292,0.00502,5e-05
01K4TK8YBQRRW3Q594W2PYJAV3,follow-up Warmup presale 2025 #2,email,"September 11, 2025, 15:00",3487,3471,0.14347,0.00922,2,0.00058,197.29,98.645,0.05684,0.00634,0.00058
01KG76BANB11D3WK21S0SXSR96,end of season 2026 (follow-up),email,"January 31, 2026, 13:45",5215,5171,0.12551,0.01412,2,0.00039,177.14,88.57,0.03426,0.00658,0.00116
01KD0DB3SJVZHEVQW9FESRFQ2H,EN Suivi commandes,email,"December 21, 2025, 12:44",87,87,0.86207,0.47126,32,0.35632,174.29,5.44656,2.00333,0.01149,0
01KG08D41SMBX0AZDWPD9CWD3B,tuques jaunes,email,"January 27, 2026, 17:45",77,77,0.8961,0,1,0.01299,172.44,172.44,2.23948,0.01299,0
01K5J5762CVXJ9CTC9XCRKV9WG,Suivi manteaux,email,"September 20, 2025, 12:00",250,250,0.924,0.456,1,0.004,160.92999,160.92999,0.64372,0.004,0
01KABYEXQ5P72YFXBB8EKQHPBD,"Campaign Nov 18, 2025, 11:58 AM",email,"November 18, 2025, 17:50",296,296,0.93243,0,2,0.00676,132.17,66.085,0.44652,0.00338,0
01KCQC4Y3QTJHNTK3AYYDEVSKS,Manteaux suivi (clone),email,"December 18, 2025, 00:14",328,328,0.90854,0,1,0.00305,126.45,126.45,0.38552,0,0
