"campaign_id","name","channel","send_time","recipients","delivered","open_rate","click_rate","conversion_uniques","conversion_value","unsubscribe_rate","spam_rate"
"01KG763XHRR4X77KDEVRSHN0C9","Vente de fin de saison 2026 (follow-up)","email","January 31, 2026, 12:30",8226,8196,0.1458,0.02172,9,839.93001,0.00561,0.00024
"01KG767TN1SNXH8T22DFHN3BAM","Vente de fin de saison 2026 (erratum) (follow-up)","email","February 01, 2026, 12:15",8187,8161,0.13736,0.00907,10,1321.77001,0.00478,0.00012
"01KG76BANB11D3WK21S0SXSR96","end of season 2026 (follow-up)","email","January 31, 2026, 13:45",5215,5171,0.12551,0.01412,2,177.14,0.00658,0.00116
"01KG76EFRCXGJMSJVCM43MR33X","end of season 2026 (erratum follow-up)","email","February 01, 2026, 13:00",5182,5138,0.12709,0.00409,1,51.96,0.01109,0.00097
"01KGST4S7YYJPVRSWSKVPTXJ23","Vente de fin de saison 2026 (#2)","email","February 07, 2026, 11:30",20431,20394,0.54089,0.03604,80,10150.35001,0.00814,0.00005
"01KHB6Q7GK7N6W4CBGV1C20AD4","Vente de fin de saison 2026 (#2) follow up","email","February 14, 2026, 12:30",9704,9686,0.16137,0.01383,4,471.86001,0.00516,0.0001
"01KHXSSX9RMH0RWNRQ9WSEG8D2","Vente de fin de saison 2026 (#3) follow up","email","February 21, 2026, 12:30",20823,20793,0.54768,0.03179,32,4698.50001,0.00822,0.00005
"01KJTF431HHNDD4CXEJETQMZK7","erratum","email","March 03, 2026, 18:35",20870,20846,0.5177,0.00988,15,1379.81001,0.00667,0.00014
"01KKHTVHQJMNXPHGNNRAJYK3KK","(region QC) Campagne nationale plantation 2026","email","March 14, 2026, 11:30",21874,21835,0.5292,0.024,17,969,0.00843,0.00005
"01KKM5DMFCP511X554CE7Y0FFC","Milkweed planting Campaign (2026)","email","March 14, 2026, 12:00",4283,4263,0.51677,0.05255,16,1072.60002,0.00962,0.00047
"01KKM8FZ5J2WRS2FXS75J0X7N4","Milkweed planting Campaign (2026) (US)","email","March 14, 2026, 13:00",8018,7979,0.43289,0.04537,46,2499.8,0.00714,0.00025
"01KN7K2SNSMX7XTX8D5R7TJAEV","NATIONAL PLANTING CAMPAIGN 2026","email","April 04, 2026, 12:30",11783,11736,0.44513,0.0317,41,1606.95,0.0098,0.00009
"01KPG8655CZG3R3FWQ7FQTSPTC","Cosmétiques prévente (clone)","email","April 18, 2026, 13:50",20187,20176,0.57464,0.06151,100,7547.03005,0.00753,0.0001
